name,latitude,longitude,type,access token,label,inactivityTimeout,active
Sensor_hub_43,40.646079,-8.639863,Sensorhub,Sensor_hub_43,Sensor_hub_43,60000,true
Sensor_hub_44,40.646591,-8.643455,Sensorhub,Sensor_hub_44,Sensor_hub_44,60000,true
Sensor_hub_45,40.639182,-8.650841,Sensorhub,Sensor_hub_45,Sensor_hub_45,60000,true
Sensor_hub_46,40.640179,-8.647268,Sensorhub,Sensor_hub_46,Sensor_hub_46,60000,true
Sensor_hub_47,40.639887,-8.65481,Sensorhub,Sensor_hub_47,Sensor_hub_47,60000,true
Sensor_hub_48,40.641418,-8.658553,Sensorhub,Sensor_hub_48,Sensor_hub_48,60000,true
Sensor_hub_49,40.64088,-8.651878,Sensorhub,Sensor_hub_49,Sensor_hub_49,60000,true
Sensor_hub_50,40.641262,-8.649598,Sensorhub,Sensor_hub_50,Sensor_hub_50,60000,true
Sensor_hub_51,40.642854,-8.6463,Sensorhub,Sensor_hub_51,Sensor_hub_51,60000,true
Sensor_hub_52,40.645301,-8.645957,Sensorhub,Sensor_hub_52,Sensor_hub_52,60000,true
Sensor_hub_53,40.646389,-8.647725,Sensorhub,Sensor_hub_53,Sensor_hub_53,60000,true
Sensor_hub_54,40.644147,-8.648498,Sensorhub,Sensor_hub_54,Sensor_hub_54,60000,true
Sensor_hub_55,40.642607,-8.649395,Sensorhub,Sensor_hub_55,Sensor_hub_55,60000,true
Sensor_hub_56,40.646626,-8.652236,Sensorhub,Sensor_hub_56,Sensor_hub_56,60000,true
Sensor_hub_57,40.645018,-8.651079,Sensorhub,Sensor_hub_57,Sensor_hub_57,60000,true
Sensor_hub_58,40.643735,-8.650289,Sensorhub,Sensor_hub_58,Sensor_hub_58,60000,true
Sensor_hub_59,40.64521,-8.654405,Sensorhub,Sensor_hub_59,Sensor_hub_59,60000,true
Sensor_hub_60,40.644334,-8.653162,Sensorhub,Sensor_hub_60,Sensor_hub_60,60000,true
Sensor_hub_61,40.643038,-8.652849,Sensorhub,Sensor_hub_61,Sensor_hub_61,60000,true
Sensor_hub_62,40.641528,-8.65357,Sensorhub,Sensor_hub_62,Sensor_hub_62,60000,true
Sensor_hub_63,40.642732,-8.655096,Sensorhub,Sensor_hub_63,Sensor_hub_63,60000,true
Sensor_hub_64,40.644122,-8.656222,Sensorhub,Sensor_hub_64,Sensor_hub_64,60000,true
Sensor_hub_65,40.642971,-8.656873,Sensorhub,Sensor_hub_65,Sensor_hub_65,60000,true
Sensor_hub_66,40.641841,-8.656439,Sensorhub,Sensor_hub_66,Sensor_hub_66,60000,true
